id,Broker,Date,Value
MaxWell_Devonshire_Realty_1591,MaxWell Devonshire Realty,2021-04-30,96.0
MaxWell_Devonshire_Realty_1592,MaxWell Devonshire Realty,2021-05-31,94.0
MaxWell_Devonshire_Realty_1593,MaxWell Devonshire Realty,2021-06-30,90.0
MaxWell_Devonshire_Realty_1594,MaxWell Devonshire Realty,2021-07-31,88.0
MaxWell_Devonshire_Realty_1595,MaxWell Devonshire Realty,2021-08-31,92.0
MaxWell_Devonshire_Realty_1596,MaxWell Devonshire Realty,2021-09-30,90.0
MaxWell_Devonshire_Realty_1597,MaxWell Devonshire Realty,2021-10-31,85.0
MaxWell_Devonshire_Realty_1598,MaxWell Devonshire Realty,2021-11-30,83.0
MaxWell_Devonshire_Realty_1599,MaxWell Devonshire Realty,2021-12-31,82.0
MaxWell_Devonshire_Realty_1600,MaxWell Devonshire Realty,2020-01-31,84.0
MaxWell_Devonshire_Realty_1601,MaxWell Devonshire Realty,2020-02-29,84.0
MaxWell_Devonshire_Realty_1602,MaxWell Devonshire Realty,2020-03-31,83.0
MaxWell_Devonshire_Realty_1603,MaxWell Devonshire Realty,2020-04-30,83.0
MaxWell_Devonshire_Realty_1604,MaxWell Devonshire Realty,2020-05-31,83.0
MaxWell_Devonshire_Realty_1605,MaxWell Devonshire Realty,2020-06-30,80.0
MaxWell_Devonshire_Realty_1606,MaxWell Devonshire Realty,2020-07-31,83.0
MaxWell_Devonshire_Realty_1607,MaxWell Devonshire Realty,2020-08-31,84.0
MaxWell_Devonshire_Realty_1608,MaxWell Devonshire Realty,2020-09-30,80.0
MaxWell_Devonshire_Realty_1609,MaxWell Devonshire Realty,2020-10-31,47.0
MaxWell_Devonshire_Realty_1610,MaxWell Devonshire Realty,2020-11-30,41.0
MaxWell_Devonshire_Realty_1611,MaxWell Devonshire Realty,2020-12-31,43.0
MaxWell_Devonshire_Realty_1612,MaxWell Devonshire Realty,2019-01-31,43.0
MaxWell_Devonshire_Realty_1613,MaxWell Devonshire Realty,2019-02-28,40.0
MaxWell_Devonshire_Realty_1614,MaxWell Devonshire Realty,2019-03-31,40.0
MaxWell_Devonshire_Realty_1615,MaxWell Devonshire Realty,2019-04-30,40.0
MaxWell_Devonshire_Realty_1616,MaxWell Devonshire Realty,2019-05-31,38.0
MaxWell_Devonshire_Realty_1617,MaxWell Devonshire Realty,2019-06-30,38.0
MaxWell_Devonshire_Realty_1618,MaxWell Devonshire Realty,2019-07-31,36.0
MaxWell_Devonshire_Realty_1619,MaxWell Devonshire Realty,2019-08-31,36.0
MaxWell_Devonshire_Realty_1620,MaxWell Devonshire Realty,2019-09-30,
MaxWell_Devonshire_Realty_1621,MaxWell Devonshire Realty,2019-10-31,
MaxWell_Devonshire_Realty_1622,MaxWell Devonshire Realty,2019-11-30,
MaxWell_Devonshire_Realty_1623,MaxWell Devonshire Realty,2019-12-31,
MaxWell_Devonshire_Realty_1624,MaxWell Devonshire Realty,2018-01-31,
MaxWell_Devonshire_Realty_1625,MaxWell Devonshire Realty,2018-02-28,
MaxWell_Devonshire_Realty_1626,MaxWell Devonshire Realty,2018-03-31,
MaxWell_Devonshire_Realty_1627,MaxWell Devonshire Realty,2018-04-30,
MaxWell_Devonshire_Realty_1628,MaxWell Devonshire Realty,2018-05-31,
MaxWell_Devonshire_Realty_1629,MaxWell Devonshire Realty,2018-06-30,
MaxWell_Devonshire_Realty_1630,MaxWell Devonshire Realty,2018-07-31,
MaxWell_Devonshire_Realty_1631,MaxWell Devonshire Realty,2018-08-31,
MaxWell_Devonshire_Realty_1632,MaxWell Devonshire Realty,2018-09-30,
MaxWell_Devonshire_Realty_1633,MaxWell Devonshire Realty,2018-10-31,
MaxWell_Devonshire_Realty_1634,MaxWell Devonshire Realty,2018-11-30,
MaxWell_Devonshire_Realty_1635,MaxWell Devonshire Realty,2018-12-31,
MaxWell_Devonshire_Realty_1636,MaxWell Devonshire Realty,2017-01-31,
Maxwell_Challenge_Realty_1637,Maxwell Challenge Realty,2024-01-31,103.0
Maxwell_Challenge_Realty_1638,Maxwell Challenge Realty,2024-02-29,103.0
Maxwell_Challenge_Realty_1639,Maxwell Challenge Realty,2024-03-31,105.0
Maxwell_Challenge_Realty_1640,Maxwell Challenge Realty,2024-04-30,103.0
Maxwell_Challenge_Realty_1641,Maxwell Challenge Realty,2024-05-31,103.0
Maxwell_Challenge_Realty_1642,Maxwell Challenge Realty,2024-06-30,104.0
Maxwell_Challenge_Realty_1643,Maxwell Challenge Realty,2024-07-31,103.0
Maxwell_Challenge_Realty_1644,Maxwell Challenge Realty,2024-08-31,104.0
Maxwell_Challenge_Realty_1645,Maxwell Challenge Realty,2024-09-30,101.0
Maxwell_Challenge_Realty_1646,Maxwell Challenge Realty,2024-10-31,105.0
